;data_pregao;codbdi;sigla_acao;preco_fechamento
368;2016-01-04;2;VISA34;306.58
369;2016-01-04;2;VIVR3;0.03
370;2016-01-04;2;VIVT3;30.35
371;2016-01-04;2;VIVT4;35.5
372;2016-01-04;2;VLID3;39.47
373;2016-01-04;12;VLOL11;58.0
374;2016-01-04;12;VRTA11;107.0
375;2016-01-04;2;VULC3;0.48
376;2016-01-04;2;VVAR11;3.21
377;2016-01-04;2;VVAR3;1.2
378;2016-01-04;2;VVAR4;1.05
379;2016-01-04;2;WEGE3;14.64
380;2016-01-04;2;WFCO34;219.2
381;2016-01-04;2;WHRL3;2.63
382;2016-01-04;2;WHRL4;2.4
383;2016-01-04;2;WSON33;32.99
384;2016-01-04;12;XPCM11;70.4
385;2016-01-04;12;XPGA11;81.02
386;2016-01-04;2;XRXB34;41.25
387;2016-01-04;12;XTED11;39.0
392;2016-01-05;2;AELP3;5.69
404;2016-01-05;2;ATTB34;139.56
405;2016-01-05;2;BAHI3;3.04
406;2016-01-05;2;BAZA3;0.24
410;2016-01-05;12;BBFI11B;2120.0
423;2016-01-05;2;BIOM3;5.51
424;2016-01-05;2;BMEB4;4.19
425;2016-01-05;2;BMIN4;0.13
429;2016-01-05;2;BOBR4;1.42
438;2016-01-05;2;BRIV3;6.13
451;2016-01-05;12;CBOP11;620.0
454;2016-01-05;2;CEED4;0.65
459;2016-01-05;2;CGAS3;37.5
469;2016-01-05;2;COPH34;47.79
474;2016-01-05;12;CPTS11B;95.03
478;2016-01-05;12;CSHP11B;925.0
488;2016-01-05;12;CXCE11B;1750.0
494;2016-01-05;2;DAYC4;8.69
497;2016-01-05;12;DOMC11;570.0
504;2016-01-05;2;EEEL3;0.7
515;2016-01-05;2;ESTR4;0.44
539;2016-01-05;12;FMOF11;99.05
542;2016-01-05;2;FRTA3;3.65
556;2016-01-05;12;GVFF11;730.0
570;2016-01-05;2;IDVL3;1.71
574;2016-01-05;2;IMBI3;0.86
661;2016-01-05;2;RJCP3;0.01
669;2016-01-05;12;SAIC11B;102.65
679;2016-01-05;2;SFSA4;2.18
680;2016-01-05;2;SGAS4;5.6
685;2016-01-05;2;SLED3;5.0
690;2016-01-05;2;SPRI6;0.31
703;2016-01-05;2;TEMP3;4.0
714;2016-01-05;2;TRPL3;42.98
716;2016-01-05;2;TRPN3;8.6
738;2016-01-05;2;WALM34;63.14
765;2016-01-06;2;BALM4;9.1
778;2016-01-06;12;BCIA11;95.0
788;2016-01-06;2;BMTO3;4.39
789;2016-01-06;2;BMTO4;5.4
790;2016-01-06;12;BNFS11;87.99
806;2016-01-06;2;BSAN33;18.76
808;2016-01-06;2;BTTL3;10.65
817;2016-01-06;2;CEDO4;5.99
836;2016-01-06;2;CRIV3;2.99
851;2016-01-06;12;CXTL11;490.0
857;2016-01-06;2;DHER34;90.58
873;2016-01-06;2;ENMT3;7.01
924;2016-01-06;2;HOOT4;3.8
935;2016-01-06;2;JBDU4;5.9
956;2016-01-06;2;LIXC3;1.08
971;2016-01-06;2;MNDL3;5.98
973;2016-01-06;2;MOAR3;140.0
1006;2016-01-06;12;PORD11;96.0
1021;2016-01-06;12;RBBV11;62.69
1027;2016-01-06;12;RDES11;69.0
1049;2016-01-06;12;SHPH11;610.0
1056;2016-01-06;2;SPRI3;0.19
1095;2016-01-06;2;VIGR3;9.5
1152;2016-01-07;2;BMYB34;264.28
1176;2016-01-07;2;CEEB3;25.45
1248;2016-01-07;2;FDXB34;544.5
1256;2016-01-07;12;FIIB11;260.0
1283;2016-01-07;2;HALI34;135.55
1337;2016-01-07;2;MMMC34;144.71
1383;2016-01-07;2;RANI4;3.26
1438;2016-01-07;2;TEXA34;210.34
1457;2016-01-07;2;UPSS34;94.38
1478;2016-01-07;12;WPLZ11B;62.0
1537;2016-01-08;2;BRIV4;6.97
1543;2016-01-08;2;BSEV3;4.83
1552;2016-01-08;2;CELP5;1.5
1574;2016-01-08;2;CRIV4;3.09
1576;2016-01-08;2;CSCO34;102.06
1627;2016-01-08;2;FJTA3;1.7
1647;2016-01-08;12;GRLV11;811.11
1667;2016-01-08;2;IBMB34;535.85
1672;2016-01-08;2;IMBI4;0.65
1758;2016-01-08;2;PTNT4;1.9
1776;2016-01-08;12;RNDP11;918.0
1832;2016-01-08;2;TXRX4;0.16
1899;2016-01-11;2;BGIP3;13.0
1906;2016-01-11;2;BOEI34;526.52
1914;2016-01-11;2;BRGE12;2.41
1915;2016-01-11;2;BRGE3;1.87
1933;2016-01-11;2;CEGR3;120.0
1956;2016-01-11;2;CREM3;14.51
1986;2016-01-11;2;ELET5;13.1
2074;2016-01-11;2;KMBB34;503.25
2112;2016-01-11;2;MSBR34;115.11
2202;2016-01-11;2;TELB3;3.61
2211;2016-01-11;2;TKNO4;46.23
2227;2016-01-11;2;UNIP3;5.9
2234;2016-01-11;2;UTEC34;365.59
2254;2016-01-11;2;WUNI34;67.41
2289;2016-01-12;2;BDLL4;37.0
2321;2016-01-12;2;CEBR6;12.0
2323;2016-01-12;2;CEED3;0.5
2355;2016-01-12;2;CTNM4;2.21
2370;2016-01-12;2;EALT4;12.18
2458;2016-01-12;2;KHCB34;294.36
2561;2016-01-12;2;SHUL3;12.0
2692;2016-01-13;2;BRGE11;3.71
2701;2016-01-13;2;BRSR5;6.17
2762;2016-01-13;2;ELEK3;4.2
2832;2016-01-13;2;IBOV11;39087.0
2913;2016-01-13;2;PNVL4;146.0
2939;2016-01-13;2;RDTR3;6.3
2946;2016-01-13;2;RPAD3;2.2
3093;2016-01-14;2;BRSR3;8.8
3098;2016-01-14;12;BVAR11;100.01
3109;2016-01-14;2;CESP5;11.31
3129;2016-01-14;2;CPTP3B;0.5
3133;2016-01-14;2;CRPG6;3.0
3137;2016-01-14;2;CSRN3;9.5
3330;2016-01-14;12;RBDS11;640.0
3385;2016-01-14;2;TIET3;3.1
3405;2016-01-14;2;USIM6;1.05
3427;2016-01-14;12;WMRB11B;310.0
3504;2016-01-15;2;CELP7;1.5
3506;2016-01-15;2;CEPE5;21.0
3883;2016-01-18;2;CBMA3;0.02
3928;2016-01-18;2;EALT3;23.0
4214;2016-01-19;2;BONY34;144.92
4237;2016-01-19;2;CEEB5;26.19
4296;2016-01-19;2;ELPL3;10.0
4335;2016-01-19;2;GDBR34;512.5
4352;2016-01-19;2;HBTS5;5.08
4444;2016-01-19;2;PEAB4;29.0
4636;2016-01-20;2;CATP34;235.92
4640;2016-01-20;2;CCPR3;8.6
4706;2016-01-20;2;ENMT4;7.0
4718;2016-01-20;2;FCXO34;16.25
5075;2016-01-21;2;DOHL4;4.27
5257;2016-01-21;2;RNEW3;19.0
5360;2016-01-22;2;ARMT34;7.03
5577;2016-01-22;2;MRSA3B;7.99
5629;2016-01-22;2;RPAD5;4.03
5718;2016-01-26;2;AFLT3;2.3
5719;2016-01-26;2;AFLU3;3.19
5835;2016-01-26;2;EKTR4;19.1
6030;2016-01-26;2;SGAS3;6.0
6295;2016-01-27;2;HETA4;7.96
6319;2016-01-27;2;JOPA3;11.5
6583;2016-01-28;2;CLGN34;398.8
6670;2016-01-28;2;GPAR3;4.0
7132;2016-01-29;2;MWET3;9.7
7607;2016-02-01;2;SOND5;22.5
7608;2016-02-01;2;SOND6;22.5
7691;2016-02-02;12;ATSA11B;891.0
7912;2016-02-02;2;MTIG3;4.79
8361;2016-02-03;2;RPAD6;1.7
8665;2016-02-04;2;LIPR3;48.8
8726;2016-02-04;2;PTPA4;72.0
8930;2016-02-05;2;CTSA3;2.19
8931;2016-02-05;2;CTSA4;2.14
9442;2016-02-10;2;MSPA4;26.0
9820;2016-02-11;2;MSPA3;25.01
10374;2016-02-15;2;BNBR3;27.0
11037;2016-02-16;2;SPRI5;0.38
11193;2016-02-17;2;COCE3;30.02
11342;2016-02-17;2;MEND5;5.98
11368;2016-02-17;2;PCAR3;55.16
11676;2016-02-18;2;JBDU3;12.1
11729;2016-02-18;12;PABY11;30.01
12053;2016-02-19;12;LATR11B;1000.0
12718;2016-02-23;2;CLSC3;28.0
12989;2016-02-23;2;TXRX3;0.3
12994;2016-02-23;2;USBC34;154.51
13447;2016-02-25;2;BRKM6;16.0
13633;2016-02-25;2;NAFG3;15.0
13643;2016-02-25;2;PATI4;11.5
14017;2016-02-26;2;NUTR3;39.0
14253;2016-02-29;2;CSRN5;8.56
14525;2016-02-29;12;TSFI11;1.6
14672;2016-03-01;2;CTNM3;2.4
14692;2016-03-01;2;ECPR4;42.47
14723;2016-03-01;2;FIGE3;43.0
14724;2016-03-01;2;FIGE4;38.01
14803;2016-03-01;2;MEND6;3.5
14909;2016-03-01;12;TFOF11;1038.98
15033;2016-03-02;2;CEBR5;28.12
16077;2016-03-04;2;TENE5;0.59
16231;2016-03-07;2;CTKA3;0.99
16335;2016-03-07;2;JFEN3;2.49
16339;2016-03-07;2;JOPA4;18.0
16673;2016-03-08;2;EUCA3;4.08
16775;2016-03-08;2;MLFT3;0.61
17127;2016-03-09;2;ITEC3;15.03
17558;2016-03-10;2;MERC4;8.4
17728;2016-03-11;2;ACNB34;380.58
18271;2016-03-14;2;EKTR3;15.7
18899;2016-03-15;2;TGTB34;302.81
19392;2016-03-17;2;BRGE6;5.03
19453;2016-03-17;2;DOHL3;8.5
19522;2016-03-17;2;HPQB34;42.95
20958;2016-03-23;2;BRGE8;3.0
21311;2016-03-24;2;AZEV3;1.5
21690;2016-03-28;12;ANCR11B;701.75
22583;2016-03-30;2;CSAB4;43.02
23332;2016-04-01;2;CASN4;10.5
23851;2016-04-04;12;FOFT11;735.0
23953;2016-04-04;2;NAFG4;13.0
25068;2016-04-07;2;MAPT4;2.02
25705;2016-04-11;2;COTY34;49.8
26117;2016-04-12;2;CSAB3;41.85
27692;2016-04-18;12;CARE11;1.65
27821;2016-04-18;2;HONB34;412.6
28534;2016-04-20;2;CSRN6;9.95
28557;2016-04-20;2;ECPR3;30.0
30095;2016-04-27;2;CVSH34;183.0
30136;2016-04-27;12;FIVN11;2.01
30153;2016-04-27;2;GILD34;179.25
30324;2016-04-27;2;TMOS34;130.5
30406;2016-04-28;2;BIIB34;164.2
30407;2016-04-28;2;BLAK34;213.4
30694;2016-04-28;2;SCHW34;104.0
31436;2016-05-02;2;PATI3;11.01
31738;2016-05-03;2;GEPA3;37.08
31974;2016-05-04;2;APTI4;350.0
33288;2016-05-09;2;GOGL34;103.25
33289;2016-05-09;2;GOGL35;100.45
33972;2016-05-11;2;CASN3;10.2
35151;2016-05-16;2;BRGE5;2.75
35542;2016-05-17;2;BOXP34;46.18
35552;2016-05-17;2;BRGE7;2.58
35619;2016-05-17;2;DUPO34;227.3
35632;2016-05-17;2;ESRX34;128.37
35814;2016-05-17;2;ROST34;98.34
35864;2016-05-17;2;TRVC34;197.55
36686;2016-05-20;2;AHEB3;20.02
36687;2016-05-20;2;AHEB5;20.01
36688;2016-05-20;2;AHEB6;20.02
37036;2016-05-20;12;VRTA13;3.0
37294;2016-05-23;2;MACY34;112.62
37747;2016-05-24;2;PTPA3;7.95
38193;2016-05-25;2;SSFO34;151.35
38614;2016-05-27;2;VTLM3;0.34
40507;2016-06-03;12;VRTA12;109.3
40523;2016-06-06;2;ABBV34;219.74
40696;2016-06-06;2;GPSI34;67.07
41379;2016-06-08;2;DEAI34;140.66
42083;2016-06-10;2;CEPE6;18.26
44022;2016-06-17;2;CTSH34;204.19
44762;2016-06-21;2;BSLI4;17.81
46060;2016-06-24;2;MTSA3;20.0
46655;2016-06-28;2;CORR4;80.0
47171;2016-06-29;2;HAGA3;2.43
47943;2016-07-01;2;ENEV3;11.9
48761;2016-07-05;12;FVPQ11;111.12
49871;2016-07-08;2;COWC34;136.08
49916;2016-07-08;2;EMCC34;90.0
50036;2016-07-08;2;MDTC34;145.98
50094;2016-07-08;2;QCOM34;178.41
50225;2016-07-11;12;ARFI11B;931.33
50240;2016-07-11;2;BBTG35;1.15
50241;2016-07-11;2;BBTG36;1.15
50263;2016-07-11;2;BPAC3;4.6
50264;2016-07-11;2;BPAC5;4.6
53652;2016-07-21;2;EGIE3;41.65
53910;2016-07-21;2;TWTR34;30.35
56374;2016-08-01;2;AALC34;34.57
56409;2016-08-01;2;BBYY34;109.77
56618;2016-08-01;2;JCPC34;32.12
56722;2016-08-01;2;RIGG34;33.88
56753;2016-08-01;2;SPRN34;20.49
56785;2016-08-01;2;TSOR34;122.21
